#string_protein_id	preferred_name	protein_size	annotation
1347342.BN863_10	BN863_10	401	annotation not available
1347342.BN863_100	BN863_100	564	annotation not available
1347342.BN863_1000	BN863_1000	169	annotation not available
1347342.BN863_10000	CDF78712.1	244	annotation not available
1347342.BN863_10010	CDF78713.1	605	annotation not available
1347342.BN863_10020	CDF78714.1	544	annotation not available
1347342.BN863_10030	CDF78715.1	277	annotation not available
1347342.BN863_10040	CDF78716.1	864	Belongs to the glycosyl hydrolase 31 family. 
1347342.BN863_10050	CDF78717.1	484	annotation not available
1347342.BN863_10060	CDF78718.1	458	annotation not available
1347342.BN863_10070	CDF78719.1	465	annotation not available
1347342.BN863_10080	CDF78720.1	449	annotation not available
1347342.BN863_10090	CDF78721.1	463	Belongs to the glycosyl hydrolase 43 family. 
1347342.BN863_1010	BN863_1010	159	annotation not available
1347342.BN863_10100	CDF78722.1	545	annotation not available
1347342.BN863_10110	CDF78723.1	615	annotation not available
1347342.BN863_10120	CDF78724.1	340	annotation not available
1347342.BN863_10130	CDF78725.1	463	annotation not available
1347342.BN863_10140	CDF78726.1	409	annotation not available
1347342.BN863_10150	CDF78727.1	1057	annotation not available
1347342.BN863_10160	CDF78728.1	552	annotation not available
1347342.BN863_10170	CDF78729.1	1069	annotation not available
1347342.BN863_10180	CDF78730.1	633	annotation not available
1347342.BN863_10190	CDF78731.1	343	annotation not available
1347342.BN863_1020	BN863_1020	167	annotation not available
1347342.BN863_10200	CDF78732.1	434	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
1347342.BN863_10210	CDF78733.1	247	annotation not available
1347342.BN863_10220	CDF78734.1	498	annotation not available
1347342.BN863_10230	CDF78735.1	636	annotation not available
1347342.BN863_10240	CDF78736.1	554	annotation not available
1347342.BN863_10250	CDF78737.1	890	annotation not available
1347342.BN863_10260	CDF78738.1	277	annotation not available
1347342.BN863_10270	CDF78739.1	760	annotation not available
1347342.BN863_10280	CDF78740.1	457	annotation not available
1347342.BN863_10290	CDF78741.1	310	annotation not available
1347342.BN863_1030	BN863_1030	372	annotation not available
1347342.BN863_10300	CDF78742.1	866	annotation not available
1347342.BN863_10310	CDF78743.1	275	annotation not available
1347342.BN863_10320	CDF78744.1	266	annotation not available
1347342.BN863_10330	CDF78745.1	650	annotation not available
1347342.BN863_10340	CDF78746.1	921	annotation not available
1347342.BN863_10350	CDF78747.1	549	annotation not available
1347342.BN863_10360	CDF78748.1	383	annotation not available
1347342.BN863_10370	CDF78749.1	494	annotation not available
1347342.BN863_10380	CDF78750.1	816	annotation not available
1347342.BN863_10390	CDF78751.1	940	annotation not available
1347342.BN863_1040	BN863_1040	155	annotation not available
1347342.BN863_10400	CDF78752.1	150	annotation not available
1347342.BN863_10410	CDF78753.1	499	annotation not available
1347342.BN863_10420	CDF78754.1	483	Belongs to the glycosyl hydrolase 30 family. 
1347342.BN863_10430	CDF78755.1	548	annotation not available
1347342.BN863_10440	CDF78756.1	247	annotation not available
1347342.BN863_10450	kduI	280	Catalyzes the isomerization of 5-dehydro-4-deoxy-D- glucuronate to 3-deoxy-D-glycero-2,5-hexodiulosonate. 
1347342.BN863_10460	CDF78758.1	263	annotation not available
1347342.BN863_10470	CDF78759.1	396	annotation not available
1347342.BN863_10480	CDF78760.1	323	annotation not available
1347342.BN863_10490	CDF78761.1	398	Required for the transposition of the insertion element. 
1347342.BN863_1050	BN863_1050	116	annotation not available
1347342.BN863_10500	CDF78762.1	139	annotation not available
1347342.BN863_10510	CDF78763.1	424	annotation not available
1347342.BN863_10520	CDF78764.1	245	annotation not available
1347342.BN863_10530	CDF78765.1	571	annotation not available
1347342.BN863_10540	CDF78766.1	489	Belongs to the mannitol dehydrogenase family. 
1347342.BN863_10550	CDF78767.1	293	annotation not available
1347342.BN863_10560	CDF78768.1	730	annotation not available
1347342.BN863_10570	CDF78769.1	268	annotation not available
1347342.BN863_10580	CDF78770.1	376	annotation not available
1347342.BN863_10590	CDF78771.1	179	annotation not available
1347342.BN863_1060	BN863_1060	189	annotation not available
1347342.BN863_10600	CDF78772.1	338	annotation not available
1347342.BN863_10610	ndk	139	Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate
1347342.BN863_10620	CDF78774.1	109	annotation not available
1347342.BN863_10630	CDF78775.1	281	annotation not available
1347342.BN863_10640	CDF78776.1	276	annotation not available
1347342.BN863_10650	CDF78777.1	215	annotation not available
1347342.BN863_10660	CDF78778.1	156	annotation not available
1347342.BN863_10670	CDF78779.1	54	annotation not available
1347342.BN863_10680	CDF78780.1	281	annotation not available
1347342.BN863_10690	CDF78781.1	328	annotation not available
